"No.","Time","Source","Destination","Protocol","Length","Info","Intervalo"
"111855","987.807780","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=33 Ack=6425 Win=254 Len=0","0.048063000"
"113609","993.210865","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.403085000"
"113611","993.261137","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=33 Ack=6459 Win=254 Len=0","0.050272000"
"114823","998.222660","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.961523000"
"114832","998.277755","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=33 Ack=6493 Win=253 Len=0","0.055095000"
"115518","1003.483956","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.206201000"
"115519","1003.523790","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=33 Ack=6527 Win=253 Len=0","0.039834000"
"115769","1008.680825","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.157035000"
"115772","1008.727428","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=33 Ack=6561 Win=253 Len=0","0.046603000"
"116768","1014.496386","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.768958000"
"116769","1014.536476","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=33 Ack=6595 Win=253 Len=0","0.040090000"
"117369","1018.541511","192.168.3.103","5.196.78.28","MQTT","56","Ping Request","4.005035000"
"117371","1018.756516","5.196.78.28","192.168.3.103","TCP","60","1883  >  51332 [ACK] Seq=6595 Ack=35 Win=502 Len=0","0.215005000"
"117616","1019.648666","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","0.892150000"
"117618","1019.688949","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=35 Ack=6629 Win=253 Len=0","0.040283000"
"117620","1019.835200","5.196.78.28","192.168.3.103","MQTT","60","Ping Response","0.146251000"
"117621","1019.889349","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=35 Ack=6631 Win=253 Len=0","0.054149000"
"119702","1025.018011","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.128662000"
"119703","1025.062796","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=35 Ack=6665 Win=253 Len=0","0.044785000"
"120310","1030.301594","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.238798000"
"120312","1030.348202","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=35 Ack=6699 Win=253 Len=0","0.046608000"
"121628","1035.198353","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.850151000"
"121630","1035.242738","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=35 Ack=6733 Win=253 Len=0","0.044385000"
"122245","1040.527598","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.284860000"
"122249","1040.579578","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=35 Ack=6767 Win=252 Len=0","0.051980000"
"122935","1046.032481","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.452903000"
"122936","1046.086205","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=35 Ack=6801 Win=252 Len=0","0.053724000"
"123249","1051.312874","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.226669000"
"123301","1051.353967","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=35 Ack=6835 Win=252 Len=0","0.041093000"
"123513","1056.621024","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.267057000"
"123514","1056.666543","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=35 Ack=6869 Win=252 Len=0","0.045519000"
"123552","1062.011859","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.345316000"
"123553","1062.061786","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=35 Ack=6903 Win=252 Len=0","0.049927000"
"123594","1067.598151","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.536365000"
"123595","1067.648959","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=35 Ack=6937 Win=252 Len=0","0.050808000"
"123630","1072.678060","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.029101000"
"123631","1072.720294","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=35 Ack=6971 Win=252 Len=0","0.042234000"
"123706","1077.902815","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.182521000"
"123707","1077.951562","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=35 Ack=7005 Win=251 Len=0","0.048747000"
"123711","1078.914210","192.168.3.103","5.196.78.28","MQTT","56","Ping Request","0.962648000"
"123714","1079.131760","5.196.78.28","192.168.3.103","TCP","60","1883  >  51332 [ACK] Seq=7005 Ack=37 Win=502 Len=0","0.217550000"
"123727","1080.604900","5.196.78.28","192.168.3.103","MQTT","60","Ping Response","1.473140000"
"123730","1080.646774","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=37 Ack=7007 Win=251 Len=0","0.041874000"
"123746","1082.770758","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","2.123984000"
"123747","1082.819006","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=37 Ack=7041 Win=251 Len=0","0.048248000"
"123781","1088.005360","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.186354000"
"123782","1088.055546","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=37 Ack=7075 Win=251 Len=0","0.050186000"
"123828","1093.688672","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.633126000"
