"No.","Time","Source","Destination","Protocol","Length","Info","Intervalo"
"28078","1632.966738","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:60640, POST, coap://192.168.3.103/sensor","5.276780000"
"28079","1632.967535","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12698, 2.03 Valid","0.000797000"
"28113","1638.247706","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:50435, POST, coap://192.168.3.103/sensor","5.280171000"
"28115","1638.248691","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12699, 2.03 Valid","0.000985000"
"28185","1643.527875","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:52447, POST, coap://192.168.3.103/sensor","5.279184000"
"28186","1643.528695","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12700, 2.03 Valid","0.000820000"
"28235","1648.806823","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:3564, POST, coap://192.168.3.103/sensor","5.278128000"
"28236","1648.807604","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12701, 2.03 Valid","0.000781000"
"28306","1654.091080","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:53766, POST, coap://192.168.3.103/sensor","5.283476000"
"28307","1654.091934","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12702, 2.03 Valid","0.000854000"
"28358","1659.367513","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:6978, POST, coap://192.168.3.103/sensor","5.275579000"
"28359","1659.368312","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12703, 2.03 Valid","0.000799000"
"28392","1664.647838","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:5043, POST, coap://192.168.3.103/sensor","5.279526000"
"28393","1664.648645","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12704, 2.03 Valid","0.000807000"
"28437","1669.926566","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:17835, POST, coap://192.168.3.103/sensor","5.277921000"
"28438","1669.927371","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12705, 2.03 Valid","0.000805000"
"28482","1675.210334","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:60288, POST, coap://192.168.3.103/sensor","5.282963000"
"28483","1675.211194","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12706, 2.03 Valid","0.000860000"
"28519","1680.488056","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:48698, POST, coap://192.168.3.103/sensor","5.276862000"
"28520","1680.488856","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12707, 2.03 Valid","0.000800000"
"28552","1685.768719","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:48399, POST, coap://192.168.3.103/sensor","5.279863000"
"28553","1685.769519","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12708, 2.03 Valid","0.000800000"
"28578","1691.051654","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:15841, POST, coap://192.168.3.103/sensor","5.282135000"
"28579","1691.052424","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12709, 2.03 Valid","0.000770000"
"28929","1696.328240","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:5154, POST, coap://192.168.3.103/sensor","5.275816000"
"28930","1696.329006","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12710, 2.03 Valid","0.000766000"
"28977","1701.610718","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:10095, POST, coap://192.168.3.103/sensor","5.281712000"
"28978","1701.611485","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12711, 2.03 Valid","0.000767000"
"29022","1706.886956","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:27390, POST, coap://192.168.3.103/sensor","5.275471000"
"29023","1706.887771","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12712, 2.03 Valid","0.000815000"
"29078","1712.168452","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:13287, POST, coap://192.168.3.103/sensor","5.280681000"
"29079","1712.169221","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12713, 2.03 Valid","0.000769000"
"29125","1717.447044","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:44907, POST, coap://192.168.3.103/sensor","5.277823000"
"29126","1717.447848","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12714, 2.03 Valid","0.000804000"
"29168","1722.728809","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:36352, POST, coap://192.168.3.103/sensor","5.280961000"
"29169","1722.729647","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12715, 2.03 Valid","0.000838000"
"29206","1728.007347","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:15892, POST, coap://192.168.3.103/sensor","5.277700000"
"29207","1728.008143","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12716, 2.03 Valid","0.000796000"
"29254","1733.286720","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:11506, POST, coap://192.168.3.103/sensor","5.278577000"
"29255","1733.287492","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12717, 2.03 Valid","0.000772000"
"29303","1738.567608","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:3507, POST, coap://192.168.3.103/sensor","5.280116000"
"29304","1738.568566","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12718, 2.03 Valid","0.000958000"
"29350","1743.846938","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:30244, POST, coap://192.168.3.103/sensor","5.278372000"
"29351","1743.847725","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12719, 2.03 Valid","0.000787000"
"29441","1749.130831","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:21099, POST, coap://192.168.3.103/sensor","5.283106000"
"29442","1749.131523","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12720, 2.03 Valid","0.000692000"
"29474","1754.413216","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:25407, POST, coap://192.168.3.103/sensor","5.281693000"
"29475","1754.413991","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12721, 2.03 Valid","0.000775000"
"29528","1759.689490","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:51650, POST, coap://192.168.3.103/sensor","5.275499000"
"29529","1759.690287","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12722, 2.03 Valid","0.000797000"
"29605","1764.972064","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:54949, POST, coap://192.168.3.103/sensor","5.281777000"
"29606","1764.972696","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12723, 2.03 Valid","0.000632000"
"29698","1770.248479","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:62232, POST, coap://192.168.3.103/sensor","5.275783000"
"29699","1770.249272","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12724, 2.03 Valid","0.000793000"
"29756","1775.527621","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:48403, POST, coap://192.168.3.103/sensor","5.278349000"
"29757","1775.528546","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12725, 2.03 Valid","0.000925000"
"29813","1780.814044","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:38089, POST, coap://192.168.3.103/sensor","5.285498000"
"29814","1780.814932","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12726, 2.03 Valid","0.000888000"
"29863","1786.092925","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:38451, POST, coap://192.168.3.103/sensor","5.277993000"
"29864","1786.093730","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12727, 2.03 Valid","0.000805000"
"29910","1791.370154","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:47795, POST, coap://192.168.3.103/sensor","5.276424000"
"29911","1791.370962","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12728, 2.03 Valid","0.000808000"
"29952","1796.647682","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:47130, POST, coap://192.168.3.103/sensor","5.276720000"
"29953","1796.648534","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12729, 2.03 Valid","0.000852000"
