No.,Time,Source,Destination,Protocol,Length,Info,Intervalo,Delta_t
103352,856.326926,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.978999,5.02949799999999
103395,861.478197,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.105643,5.151271000000065
103430,866.624564,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.10261,5.146366999999941
103469,871.669303,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.002351,5.04473900000005
103587,876.925855,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.202058,5.256551999999942
103636,882.352215,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.378639,5.426360000000045
103697,887.732594,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.335199,5.380378999999948
103774,892.984594,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.205928,5.252000000000066
103975,898.134118,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],0.888151,5.1495239999999285
104636,903.623485,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.327133,5.489367000000016
105011,908.378211,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.708738,4.754726000000005
105046,913.679949,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.249265,5.301738
105083,919.30926,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.586508,5.62931100000003
105413,924.594875,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.236139,5.285615000000007
105450,929.568348,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.925066,4.973473000000013
105507,934.805913,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.188048,5.237565000000018
105702,939.748933,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.890572,4.943019999999933
105787,945.437299,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.642479,5.688366000000087
105851,951.119214,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.641407,5.681915000000004
105947,955.972382,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.809093,4.853167999999982
