"No.","Time","Source","Destination","Protocol","Length","Info","Intervalo"
"14097","980.270744","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:24195, POST, coap://192.168.3.103/sensor","5.278580000"
"14098","980.271655","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49186, 2.03 Valid","0.000911000"
"14377","985.553247","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:25587, POST, coap://192.168.3.103/sensor","5.281592000"
"14378","985.554092","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49187, 2.03 Valid","0.000845000"
"14421","990.832378","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:15662, POST, coap://192.168.3.103/sensor","5.278286000"
"14422","990.833193","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49188, 2.03 Valid","0.000815000"
"14517","996.112160","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:28380, POST, coap://192.168.3.103/sensor","5.278967000"
"14518","996.112961","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49189, 2.03 Valid","0.000801000"
"14585","1001.391944","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:50481, POST, coap://192.168.3.103/sensor","5.278983000"
"14586","1001.392745","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49190, 2.03 Valid","0.000801000"
"14620","1006.692679","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:57137, POST, coap://192.168.3.103/sensor","5.299934000"
"14621","1006.693528","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49191, 2.03 Valid","0.000849000"
"14661","1011.952589","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:35085, POST, coap://192.168.3.103/sensor","5.259061000"
"14662","1011.953384","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49192, 2.03 Valid","0.000795000"
"14699","1017.230254","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:19986, POST, coap://192.168.3.103/sensor","5.276870000"
"14700","1017.231062","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49193, 2.03 Valid","0.000808000"
"14793","1022.514396","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:62065, POST, coap://192.168.3.103/sensor","5.283334000"
"14794","1022.515210","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49194, 2.03 Valid","0.000814000"
"14844","1027.792013","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:31420, POST, coap://192.168.3.103/sensor","5.276803000"
"14845","1027.792711","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49195, 2.03 Valid","0.000698000"
"14873","1033.071067","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:45858, POST, coap://192.168.3.103/sensor","5.278356000"
"14874","1033.071930","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49196, 2.03 Valid","0.000863000"
"14925","1038.356279","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:7547, POST, coap://192.168.3.103/sensor","5.284349000"
"14926","1038.357058","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49197, 2.03 Valid","0.000779000"
"14953","1043.635735","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:62287, POST, coap://192.168.3.103/sensor","5.278677000"
"14954","1043.636513","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49198, 2.03 Valid","0.000778000"
"14991","1048.913214","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:56296, POST, coap://192.168.3.103/sensor","5.276701000"
"14992","1048.914017","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49199, 2.03 Valid","0.000803000"
"15047","1054.193057","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:30216, POST, coap://192.168.3.103/sensor","5.279040000"
"15048","1054.193851","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49200, 2.03 Valid","0.000794000"
"15110","1059.473077","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:34898, POST, coap://192.168.3.103/sensor","5.279226000"
"15111","1059.473818","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49201, 2.03 Valid","0.000741000"
"15150","1064.760868","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:24865, POST, coap://192.168.3.103/sensor","5.287050000"
"15151","1064.761645","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49202, 2.03 Valid","0.000777000"
"15178","1070.033627","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:63377, POST, coap://192.168.3.103/sensor","5.271982000"
"15179","1070.034430","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49203, 2.03 Valid","0.000803000"
"15209","1075.311647","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:54153, POST, coap://192.168.3.103/sensor","5.277217000"
"15210","1075.312454","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49204, 2.03 Valid","0.000807000"
"15262","1080.597334","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:8372, POST, coap://192.168.3.103/sensor","5.284880000"
"15263","1080.598123","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49205, 2.03 Valid","0.000789000"
"15345","1085.872724","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:6615, POST, coap://192.168.3.103/sensor","5.274601000"
"15346","1085.873508","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49206, 2.03 Valid","0.000784000"
"15376","1091.151724","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:2094, POST, coap://192.168.3.103/sensor","5.278216000"
"15377","1091.152531","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49207, 2.03 Valid","0.000807000"
"15408","1096.432762","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:22774, POST, coap://192.168.3.103/sensor","5.280231000"
"15409","1096.433618","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49208, 2.03 Valid","0.000856000"
"15451","1101.714239","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:63074, POST, coap://192.168.3.103/sensor","5.280621000"
"15452","1101.715059","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49209, 2.03 Valid","0.000820000"
"15474","1106.996563","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:51662, POST, coap://192.168.3.103/sensor","5.281504000"
"15475","1106.997389","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49210, 2.03 Valid","0.000826000"
"15514","1112.275993","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:24149, POST, coap://192.168.3.103/sensor","5.278604000"
"15515","1112.276772","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49211, 2.03 Valid","0.000779000"
"15555","1117.552325","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:516, POST, coap://192.168.3.103/sensor","5.275553000"
"15556","1117.553119","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49212, 2.03 Valid","0.000794000"
"15582","1122.837229","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:57044, POST, coap://192.168.3.103/sensor","5.284110000"
"15583","1122.838129","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49213, 2.03 Valid","0.000900000"
"15736","1128.109883","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:65441, POST, coap://192.168.3.103/sensor","5.271754000"
"15737","1128.110699","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49214, 2.03 Valid","0.000816000"
"15786","1133.390519","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:23701, POST, coap://192.168.3.103/sensor","5.279820000"
"15787","1133.391328","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49215, 2.03 Valid","0.000809000"
"15816","1138.673828","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:53983, POST, coap://192.168.3.103/sensor","5.282500000"
"15817","1138.674643","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49216, 2.03 Valid","0.000815000"
"15849","1143.953791","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:47816, POST, coap://192.168.3.103/sensor","5.279148000"
"15850","1143.954596","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49217, 2.03 Valid","0.000805000"
"15886","1149.231008","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:34061, POST, coap://192.168.3.103/sensor","5.276412000"
"15887","1149.231812","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49218, 2.03 Valid","0.000804000"
"15910","1154.511831","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:32996, POST, coap://192.168.3.103/sensor","5.280019000"
"15911","1154.512635","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49219, 2.03 Valid","0.000804000"
"15943","1159.791977","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:25916, POST, coap://192.168.3.103/sensor","5.279342000"
"15944","1159.792782","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49220, 2.03 Valid","0.000805000"
